skillType,preferredLabel,relationType,altLabels,occupationUri,skillUri
knowledge,query languages,essential,"HTSQL
Gellish
Concept-Oriented
RDQL
SuprTool
ISBL
XSPARQL
DMX
ReQL
F-logic
SPL
Poliqarp
query languages
QUEL
FQL
XPath
.QL
CQLF
Datalog
OQL
OCL
OPath
TMQL
YQL
OttoQL
MQL",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/9cf681c7-89ec-470c-b651-7fe03786f586
knowledge,multidisciplinary research,optional,multidisciplinary research methods,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/9fc400ac-8ed2-4aff-915f-aa4f2609ec7b
skill/competence,manage data,optional,"operate data quality tools
manage data lifecycle
data resource management
administer data
data administration",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f
knowledge,healthcare analytics,optional,"health data analytics
health care analytics
healthcare data analytics
health care data analytics",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/a1eef0f4-133f-464a-a8f1-68fe3e8cc1b4
knowledge,LDAP,optional,Lightweight Directory Access Protocol,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/a57a54b6-2f2e-43e4-9621-b52f4a63cb08
skill/competence,mentor individuals,essential,"guide individuals
support people
support individuals
help people
guide people
help individuals",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/a584a638-a2c0-4b3c-bdf3-a64f87225be9
skill/competence,manage data collection systems,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/a80fb090-63f4-4b05-83a5-2f090deb7757
skill/competence,manage personal professional development,essential,"develop own practice continuously
research own continuing professional development
develop own practice
research identify and resource your continuing professional development
undertake responsibility on continuous professional development
conduct personal professional development
continuously develop own practice
continuously develop your own practices
develop own practices continuously
manage personal lifelong learning
identify priority areas for professional development",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612
knowledge,online analytical processing,essential,"OLAP databases
OLAP
Cube databases",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/b0a3bb25-a02f-43ed-ab1f-994fa66a424a
skill/competence,apply blended learning,optional,"employ blended learning
implement mixed learning approaches
integrate blended learning
combine face-to-face and online learning
implement blended learning",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/b363bb5f-2c79-40af-94da-33e06f9dee9f
skill/competence,make data-driven decisions,optional,take decisions based on data,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562
skill/competence,write scientific publications,essential,"draw up scientific papers
draft scientific papers
scientific paper writing",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/c3c2420c-ce9a-4371-8eed-1db479c3a562
skill/competence,deliver visual presentation of data,essential,"create data visualisation
visualise data",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389
