skillType,preferredLabel,relationType,altLabels,occupationUri,skillUri
knowledge,legal requirements of ICT products,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/a846cb9e-c152-41e7-bd34-45e7ff941e3b
skill/competence,manage localisation,optional,"manage content localisation
manage content localization
manage translation and localisation
manage localization
manage content translation and localisation",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/a9bf8565-8a09-4118-9922-932d65a79d69
knowledge,Open source model,optional,Open source model,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/b16200f4-4f39-4b8b-aa9d-3568054d6bdb
skill/competence,identify legal requirements,essential,identify legal and normative requirements and standards,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/b9bf9e17-ae47-417b-bbb1-e8b7c263ccac
skill/competence,use e-procurement,optional,"employ electronic procurement
use electronic procurement
utilize e-procurement
employ e-procurement
utilise e-procurement",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/bc067d2e-e151-408f-8e34-24effd2b7fd6
knowledge,ICT project management methodologies,essential,"project management software
prince2
structured methodology
agile
Benefits realization management
Extreme project management
software development methodologies
project management framework
Critical chain project management
Code and fix development",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9
skill/competence,organise project meetings,optional,"handle project meetings logistic
arrange project sessions
manage project meetings
plan project meetings
schedule project sessions",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/c3687b34-fe53-4db2-ad1b-5055a6c5b6fd
knowledge,quality assurance methodologies,optional,"quality assurance arrangements
quality assurance methodology
quality assurance processes
quality assurance plans
quality assurance approaches",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/c7cc6dc5-d56b-4323-8e5c-47c4022f615f
knowledge,ICT system user requirements,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/ca73ac82-867a-4afa-9732-834aebe896ff
knowledge,project configuration management,optional,"project setup control
project deliverables management
effective management process
project setup management",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/ccb2e5f2-4279-48fd-9d85-a1db42ff1e13
skill/competence,perform project management,essential,"perform management of projects
do project management
conduct project management
manage projects
perform projects management
performing project management",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68
skill/competence,apply organisational techniques,optional,"apply organizational  techniques
apply an organisational technique
applying organisational techniques
organisational techniques application
utilise organisational techniques
administer organisational techniques
employ organisational techniques
implement organisational techniques",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/d3eccb86-f02d-4950-bfbd-20b9510774a1
knowledge,Process-based management,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/d5a59ca8-2e91-472e-8571-d12ce4478679
skill/competence,define technical requirements,optional,"make a list of technical aspects
write up technical specifications in a list
write up a list of technical specifications
write technical specifications
gather technical requirements
write up a technical specifications' list
jot down technical specifications in a list",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/d9e5349e-8791-49c2-8ba4-839fdd1606c2
knowledge,lean project management,optional,"lean project methodology
lean project management approach",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/da6393d5-a53c-4863-abc7-51f36281d74e
knowledge,Agile development,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221
skill/competence,build business relationships,essential,"devise business relationships
construct business relationships
build a business relationship
set up business relationships
assemble business relationships
produce business relationships
building business relationships",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1
skill/competence,estimate duration of work,essential,time estimation of work,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/e207163b-7963-4c3e-9494-7a4bb000211b
skill/competence,train employees,essential,"train an employee
teach employees
upskill employees
instruct employees
training employees",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/e54ff029-1ce9-447d-a5b2-eb7283a23e6e
knowledge,document management,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/ea1bf5e5-e7f0-4d2c-a415-1c39c00512b1
knowledge,Prototyping development,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/ed1d8bd4-cd2a-4c64-b665-56d70651026c
knowledge,insourcing strategy,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/eff1bb34-b454-4482-8c29-65f820619f3c
knowledge,DevOps,optional,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4
skill/competence,draft project documentation,optional,"write project documentation
formulate project documents
prepare project documentation",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/f17f94f1-88cb-4815-873a-2a9639f10729
skill/competence,perform resource planning,essential,"",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/f5dd06b8-5d17-4932-9d03-957d0c4f5051
knowledge,ICT process quality models,optional,"CMMI (Capability Maturity Model Integrated)
software process quality
Quality maturity models
CMM",http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/fafe0b9d-dbd9-46bd-b770-26299539ce66
knowledge,blockchain mining principles,essential,principles of mining in blockchain,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,http://data.europa.eu/esco/skill/fc94266b-322d-4f1d-87a0-03f999e72344
